id,seriesId,seasonNumber,episodeCount
1,1ef30d3e-fffc-6693-9950-7964b44d93ce,1,13
2,1ef30d3f-0b3a-631b-99b7-2a351baebae6,1,18
3,1ef30d3f-0b3a-631b-99b7-2a351baebae6,2,18
4,1ef30d3f-0b3a-631b-99b7-2a351baebae6,3,20
5,1ef30d3f-0b3a-631b-99b7-2a351baebae6,4,20
6,1ef30d3f-0b3a-631b-99b7-2a351baebae6,5,18
7,1ef30d3f-0b3a-631b-99b7-2a351baebae6,6,22
8,1ef30d3f-0b3a-631b-99b7-2a351baebae6,7,10
9,1ef30d3f-186f-6dec-a6ed-a452c8c2df3d,1,7
10,1ef30d3f-22e6-6bdf-87ad-eb86c3ea7396,1,15
11,1ef30d3f-22e6-6bdf-87ad-eb86c3ea7396,2,14
12,1ef30d3f-22e6-6bdf-87ad-eb86c3ea7396,3,13
13,1ef30d3f-22e6-6bdf-87ad-eb86c3ea7396,4,13
14,1ef30d3f-22e6-6bdf-87ad-eb86c3ea7396,5,10
15,1ef30d3f-3019-6118-ac7e-02b6bcceff49,1,13
16,1ef30d3f-3019-6118-ac7e-02b6bcceff49,2,13
17,1ef30d3f-3019-6118-ac7e-02b6bcceff49,3,13
18,1ef30d3f-3019-6118-ac7e-02b6bcceff49,4,13
19,1ef30d3f-3019-6118-ac7e-02b6bcceff49,5,13
20,1ef30d3f-3019-6118-ac7e-02b6bcceff49,6,21
21,1ef30d3f-3e7a-609f-83d6-8f913492d554,1,22
22,1ef30d3f-3e7a-609f-83d6-8f913492d554,2,23
23,1ef30d3f-3e7a-609f-83d6-8f913492d554,3,20
24,1ef30d3f-3e7a-609f-83d6-8f913492d554,4,26
25,1ef30d3f-3e7a-609f-83d6-8f913492d554,5,23
26,1ef30d3f-3e7a-609f-83d6-8f913492d554,6,24
27,1ef30d3f-3e7a-609f-83d6-8f913492d554,7,24
28,1ef30d3f-3e7a-609f-83d6-8f913492d554,8,24
29,1ef30d3f-3e7a-609f-83d6-8f913492d554,9,24
30,1ef30d3f-3e7a-609f-83d6-8f913492d554,10,23
31,1ef30d3f-3e7a-609f-83d6-8f913492d554,11,22
32,1ef30d3f-3e7a-609f-83d6-8f913492d554,12,22
33,1ef30d3f-3e7a-609f-83d6-8f913492d554,13,22
34,1ef30d3f-3e7a-609f-83d6-8f913492d554,14,15
35,1ef30d3f-3e7a-609f-83d6-8f913492d554,15,10
36,1ef30d3f-3e7a-609f-83d6-8f913492d554,16,10
37,1ef30d3f-3e7a-609f-83d6-8f913492d554,17,10
38,1ef30d3f-4f71-687f-9d57-211e7d80a7eb,1,10
39,1ef30d3f-4f71-687f-9d57-211e7d80a7eb,2,10
40,1ef30d3f-5acc-60c5-a854-47ef61b7f676,1,10
41,1ef30d3f-5acc-60c5-a854-47ef61b7f676,2,18
42,1ef30d3f-5acc-60c5-a854-47ef61b7f676,3,18
43,1ef30d3f-5acc-60c5-a854-47ef61b7f676,4,14
44,1ef30d3f-5acc-60c5-a854-47ef61b7f676,5,18
45,1ef30d3f-5acc-60c5-a854-47ef61b7f676,6,18
46,1ef30d3f-5acc-60c5-a854-47ef61b7f676,7,10
47,1ef30d3f-68be-6ff8-a78b-37d8860d46c6,1,6
48,1ef30d3f-743a-69ec-8963-1beeeb0c40e8,1,6
49,1ef30d3f-743a-69ec-8963-1beeeb0c40e8,2,6
50,1ef30d3f-743a-69ec-8963-1beeeb0c40e8,3,6
51,1ef30d3f-7e39-64ff-a67a-16291cf67a25,1,10
52,1ef30d3f-7e39-64ff-a67a-16291cf67a25,2,10
53,1ef30d3f-7e39-64ff-a67a-16291cf67a25,3,10
54,1ef30d3f-7e39-64ff-a67a-16291cf67a25,4,11
55,1ef30d3f-7e39-64ff-a67a-16291cf67a25,5,10
56,1ef30d3f-89b9-67ad-b5ca-558770489802,1,8
57,1ef30d3f-89b9-67ad-b5ca-558770489802,2,10
58,1ef30d3f-89b9-67ad-b5ca-558770489802,3,10
59,1ef30d3f-9560-6b96-83a7-486bda79cd9c,1,6
60,1ef30d3f-9560-6b96-83a7-486bda79cd9c,2,9
61,1ef30d3f-9560-6b96-83a7-486bda79cd9c,3,9
62,1ef30d3f-9560-6b96-83a7-486bda79cd9c,4,9
63,1ef30d3f-a21a-6b61-a4e0-9deeed124805,1,10
64,1ef30d3f-a21a-6b61-a4e0-9deeed124805,2,10
65,1ef30d3f-a21a-6b61-a4e0-9deeed124805,3,10
66,1ef30d3f-a21a-6b61-a4e0-9deeed124805,4,10
67,1ef30d3f-a21a-6b61-a4e0-9deeed124805,5,10
68,1ef30d3f-a21a-6b61-a4e0-9deeed124805,6,10
69,1ef30d3f-a21a-6b61-a4e0-9deeed124805,7,10
70,1ef30d3f-a21a-6b61-a4e0-9deeed124805,8,10
71,1ef30d3f-a21a-6b61-a4e0-9deeed124805,9,10
72,1ef30d3f-a21a-6b61-a4e0-9deeed124805,10,10
73,1ef30d3f-a21a-6b61-a4e0-9deeed124805,11,10
74,1ef30d3f-a21a-6b61-a4e0-9deeed124805,12,10
75,1ef30d3f-b0c6-664c-aec4-7d089dd16f2e,1,10
76,1ef30d3f-bb7b-6a3d-b4c2-6dd054b40d50,1,8
77,1ef30d3f-c82f-677e-94ab-70fbf051902f,1,8
78,1ef30d3f-c82f-677e-94ab-70fbf051902f,2,8
79,1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,1,10
80,1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,2,10
81,1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,3,10
82,1ef30d3f-d3eb-6c0e-8bd0-a46b700b00ac,4,5
83,1ef30d3f-dfa1-67b4-b9b5-5a7e786e7b8a,1,8
84,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,1,22
85,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,2,24
86,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,3,24
87,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,4,16
88,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,5,24
89,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,6,21
90,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,7,23
91,1ef30d3f-ea6f-6e7b-a518-e8745ae60346,8,22
92,1ef30d3f-fb01-6808-aa8a-9c50e3c49a7c,1,6
93,1ef30d40-06af-6a57-9d3f-8b8eb8fcdd97,1,9
94,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,1,11
95,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,2,10
96,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,3,10
97,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,4,10
98,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,5,10
99,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,6,10
100,1ef30d40-1279-63d5-b0fc-2fcc718bf59c,7,10
101,1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,1,25
102,1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,2,24
103,1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,3,22
104,1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,4,13
105,1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,5,13
106,1ef30d40-1d38-63ec-a1f9-9aaa12292ca4,6,13
107,1ef30d40-2ba9-6d06-aded-9048c1678755,1,8
108,1ef30d40-2ba9-6d06-aded-9048c1678755,2,22
109,1ef30d40-2ba9-6d06-aded-9048c1678755,3,18
110,1ef30d40-3687-6c5b-831f-f34457b170e3,1,9
111,1ef30d40-3687-6c5b-831f-f34457b170e3,2,8
112,1ef30d40-41a5-6d6f-9c6e-2b899e2a0feb,1,8
113,1ef30d40-41a5-6d6f-9c6e-2b899e2a0feb,2,7
114,1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,1,6
115,1ef30d40-4d2e-69b3-a34a-6c5e8a0d47e1,2,6
116,1ef30d40-58c0-69c4-9f14-d503253da2d2,1,10
117,1ef30d40-58c0-69c4-9f14-d503253da2d2,2,10
118,1ef30d40-58c0-69c4-9f14-d503253da2d2,3,10
119,1ef30d40-6473-60f8-b0e0-073a3732289d,1,8
120,1ef30d40-6473-60f8-b0e0-073a3732289d,2,8
121,1ef30d40-6473-60f8-b0e0-073a3732289d,3,8
122,1ef30d40-702b-63d0-8404-865d49e013b2,1,10
123,1ef30d40-702b-63d0-8404-865d49e013b2,2,10
124,1ef30d40-702b-63d0-8404-865d49e013b2,3,10
125,1ef30d40-702b-63d0-8404-865d49e013b2,4,10
126,1ef30d40-702b-63d0-8404-865d49e013b2,5,10
127,1ef30d40-7aec-6c93-a572-26509ad15030,1,13
128,1ef30d40-7aec-6c93-a572-26509ad15030,2,18
129,1ef30d40-7aec-6c93-a572-26509ad15030,3,17
130,1ef30d40-7aec-6c93-a572-26509ad15030,4,17
131,1ef30d40-7aec-6c93-a572-26509ad15030,5,14
132,1ef30d40-7aec-6c93-a572-26509ad15030,6,17
133,1ef30d40-7aec-6c93-a572-26509ad15030,7,15
134,1ef30d40-7aec-6c93-a572-26509ad15030,8,14
135,1ef30d40-7aec-6c93-a572-26509ad15030,9,14
136,1ef30d40-7aec-6c93-a572-26509ad15030,10,14
137,1ef30d40-7aec-6c93-a572-26509ad15030,11,14
138,1ef30d40-7aec-6c93-a572-26509ad15030,12,14
139,1ef30d40-7aec-6c93-a572-26509ad15030,13,14
140,1ef30d40-7aec-6c93-a572-26509ad15030,14,14
141,1ef30d40-7aec-6c93-a572-26509ad15030,15,14
142,1ef30d40-7aec-6c93-a572-26509ad15030,16,14
143,1ef30d40-7aec-6c93-a572-26509ad15030,17,10
144,1ef30d40-7aec-6c93-a572-26509ad15030,18,10
145,1ef30d40-7aec-6c93-a572-26509ad15030,19,10
146,1ef30d40-7aec-6c93-a572-26509ad15030,20,10
147,1ef30d40-7aec-6c93-a572-26509ad15030,21,10
148,1ef30d40-7aec-6c93-a572-26509ad15030,22,10
149,1ef30d40-7aec-6c93-a572-26509ad15030,23,10
150,1ef30d40-7aec-6c93-a572-26509ad15030,25,6
151,1ef30d40-7aec-6c93-a572-26509ad15030,26,6
152,1ef30d40-8c81-6504-b0c2-22210a28239f,1,10
153,1ef30d40-8c81-6504-b0c2-22210a28239f,2,10
154,1ef30d40-8c81-6504-b0c2-22210a28239f,3,10
155,1ef30d40-968f-6411-8eeb-67da362ef702,1,8
156,1ef30d40-a202-6139-954b-645a1168b418,1,6
157,1ef30d40-a202-6139-954b-645a1168b418,2,1
158,1ef30d40-ada8-61c2-a5a9-04eb85e536f2,1,8
159,1ef30d40-ada8-61c2-a5a9-04eb85e536f2,2,8
160,1ef30d40-ada8-61c2-a5a9-04eb85e536f2,3,8
161,1ef30d40-ada8-61c2-a5a9-04eb85e536f2,4,8
162,1ef30d40-b8cc-69d1-82dc-effded96e7f9,1,10
163,1ef30d40-b8cc-69d1-82dc-effded96e7f9,2,10
164,1ef30d40-b8cc-69d1-82dc-effded96e7f9,3,10
165,1ef30d40-c428-67b6-b5d1-290955256ee0,1,13
166,1ef30d40-c428-67b6-b5d1-290955256ee0,2,13
167,1ef30d40-c428-67b6-b5d1-290955256ee0,3,13
168,1ef30d40-c428-67b6-b5d1-290955256ee0,4,13
169,1ef30d40-c428-67b6-b5d1-290955256ee0,5,13
170,1ef30d40-c428-67b6-b5d1-290955256ee0,6,13
171,1ef30d40-c428-67b6-b5d1-290955256ee0,7,14
172,1ef30d40-d2db-6157-9402-953b8a60c23d,1,22
173,1ef30d40-d2db-6157-9402-953b8a60c23d,2,22
174,1ef30d40-d2db-6157-9402-953b8a60c23d,3,21
175,1ef30d40-d2db-6157-9402-953b8a60c23d,4,23
176,1ef30d40-d2db-6157-9402-953b8a60c23d,5,22
177,1ef30d40-d2db-6157-9402-953b8a60c23d,6,22
178,1ef30d40-d2db-6157-9402-953b8a60c23d,7,22
179,1ef30d40-e36c-686e-8227-1bf70d8eb2c7,1,13
180,1ef30d40-e36c-686e-8227-1bf70d8eb2c7,2,20
181,1ef30d40-e36c-686e-8227-1bf70d8eb2c7,3,20
182,1ef30d40-e36c-686e-8227-1bf70d8eb2c7,4,20
183,1ef30d40-f268-6336-9c71-e1446bc2df24,1,24
184,1ef30d40-f268-6336-9c71-e1446bc2df24,2,24
185,1ef30d40-f268-6336-9c71-e1446bc2df24,3,24
186,1ef30d40-f268-6336-9c71-e1446bc2df24,4,24
187,1ef30d40-f268-6336-9c71-e1446bc2df24,5,24
188,1ef30d40-f268-6336-9c71-e1446bc2df24,6,24
189,1ef30d40-f268-6336-9c71-e1446bc2df24,7,22
190,1ef30d40-f268-6336-9c71-e1446bc2df24,8,22
191,1ef30d40-f268-6336-9c71-e1446bc2df24,9,22
192,1ef30d40-f268-6336-9c71-e1446bc2df24,10,22
193,1ef30d40-f268-6336-9c71-e1446bc2df24,11,18
194,1ef30d41-02af-69a2-9609-6fe277d63661,1,13
195,1ef30d41-02af-69a2-9609-6fe277d63661,2,12
196,1ef30d41-02af-69a2-9609-6fe277d63661,3,12
197,1ef30d41-02af-69a2-9609-6fe277d63661,4,13
198,1ef30d41-02af-69a2-9609-6fe277d63661,5,10
199,1ef30d41-1075-6ad8-aa08-a02ffee909c4,1,6
200,1ef30d41-1c09-6b34-adfe-1e38a3ec4d39,1,6
201,1ef30d41-1c09-6b34-adfe-1e38a3ec4d39,2,6
202,1ef30d41-2812-6069-95dd-49cabea3a864,1,6
203,1ef30d41-2812-6069-95dd-49cabea3a864,2,22
204,1ef30d41-2812-6069-95dd-49cabea3a864,3,25
205,1ef30d41-2812-6069-95dd-49cabea3a864,4,19
206,1ef30d41-2812-6069-95dd-49cabea3a864,5,28
207,1ef30d41-2812-6069-95dd-49cabea3a864,6,26
208,1ef30d41-2812-6069-95dd-49cabea3a864,7,27
209,1ef30d41-2812-6069-95dd-49cabea3a864,8,24
210,1ef30d41-2812-6069-95dd-49cabea3a864,9,25
211,1ef30d41-3767-6836-90e6-a49b2d836745,1,10
212,1ef30d41-3767-6836-90e6-a49b2d836745,2,10
213,1ef30d41-3767-6836-90e6-a49b2d836745,3,10
214,1ef30d41-3767-6836-90e6-a49b2d836745,4,10
215,1ef30d41-3767-6836-90e6-a49b2d836745,5,10
216,1ef30d41-431b-6cf1-b566-3a1f1faabab6,1,10
217,1ef30d41-431b-6cf1-b566-3a1f1faabab6,2,13
218,1ef30d41-431b-6cf1-b566-3a1f1faabab6,3,13
219,1ef30d41-431b-6cf1-b566-3a1f1faabab6,4,10
220,1ef30d41-431b-6cf1-b566-3a1f1faabab6,5,10
221,1ef30d41-4ddb-6078-b054-44ec2e71b3d8,1,6
222,1ef30d41-598d-6e0d-a6e0-889c2fd0ce61,1,6
223,1ef30d41-598d-6e0d-a6e0-889c2fd0ce61,2,6
224,1ef30d41-6453-617f-a0ab-f602106f76c6,1,10
225,1ef30d41-6453-617f-a0ab-f602106f76c6,2,12
